Pipeline,Avg_Train_Time(s),Avg_Test_F1,Efficiency_Score,Models_Tested
pipeline1,1087.7237736327309,0.6260866535676426,0.0005755934261477678,14
pipeline2,73.28177500906445,0.6849591822494003,0.009346924008932311,21
pipeline3,86.0001894235611,0.7411934392136021,0.008618509379824,14
