Pipeline,Val-Test_F1_Gap,Overfitting_Risk,Best_Val_F1,Best_Test_F1
pipeline1,0.0509033387880324,High,0.7346938775510204,0.693069306930693
pipeline2,0.03365622867757751,Medium,0.6090534979423867,0.5538461538461539
pipeline3,0.00888887507147582,Low,0.5910931174089068,0.5901639344262296
