Pipeline,Composite_Score,Best_Test_F1,Best_Test_Acc,Best_Val_F1,Best_Model,Rank
pipeline1,0.8153815411221318,0.693069306930693,0.9988498924092899,0.7346938775510204,augmented_rf_5,1
pipeline3,0.7533563557585055,0.5901639344262296,0.9981449877569192,0.5910931174089068,baseline_xgb,2
pipeline2,0.7314469666269028,0.5538461538461539,0.9978481857980263,0.6090534979423867,baseline_rf_sklearn,3
